component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
w_comp_cor_244	WM	77.4088368361	0.0010101362	0.3832474436	True
w_comp_cor_245	WM	77.3002121154	0.0010073032	0.3842547469	True
w_comp_cor_246	WM	77.2817175504	0.0010068213	0.3852615681	True
w_comp_cor_247	WM	77.2215803653	0.001005255	0.3862668231	True
w_comp_cor_248	WM	77.1938021742	0.0010045319	0.387271355	True
w_comp_cor_249	WM	77.1324647666	0.0010029361	0.3882742911	True
w_comp_cor_250	WM	77.1238411926	0.0010027119	0.389277003	True
w_comp_cor_251	WM	77.0679493437	0.0010012591	0.3902782621	True
w_comp_cor_252	WM	77.0123657993	0.0009998153	0.3912780774	True
w_comp_cor_253	WM	76.967410336	0.0009986484	0.3922767258	True
w_comp_cor_254	WM	76.8591694761	0.0009958415	0.3932725673	True
w_comp_cor_255	WM	76.8367337996	0.0009952602	0.3942678275	True
w_comp_cor_256	WM	76.7616839026	0.0009933169	0.3952611445	True
w_comp_cor_257	WM	76.6807948586	0.0009912246	0.3962523691	True
w_comp_cor_258	WM	76.6279908594	0.0009898599	0.397242229	True
w_comp_cor_259	WM	76.586977403	0.0009888006	0.3982310296	True
w_comp_cor_260	WM	76.548044248	0.0009877955	0.3992188251	True
w_comp_cor_261	WM	76.4902654118	0.0009863049	0.40020513	True
w_comp_cor_262	WM	76.4484660661	0.0009852272	0.4011903572	True
w_comp_cor_263	WM	76.3495878876	0.0009826803	0.4021730376	True
w_comp_cor_264	WM	76.2641132258	0.0009804813	0.4031535188	True
w_comp_cor_265	WM	76.2470247732	0.0009800419	0.4041335608	True
w_comp_cor_266	WM	76.1976203077	0.0009787723	0.4051123331	True
w_comp_cor_267	WM	76.1441079951	0.000977398	0.4060897311	True
w_comp_cor_268	WM	76.0935946514	0.0009761017	0.4070658328	True
w_comp_cor_269	WM	76.0515432169	0.0009750231	0.4080408559	True
w_comp_cor_270	WM	76.0434734062	0.0009748162	0.4090156722	True
w_comp_cor_271	WM	75.9640986836	0.0009727822	0.4099884544	True
w_comp_cor_272	WM	75.9367572709	0.0009720821	0.4109605365	True
w_comp_cor_273	WM	75.8458195636	0.0009697553	0.4119302918	True
w_comp_cor_274	WM	75.7807381341	0.0009680918	0.4128983836	True
w_comp_cor_275	WM	75.6971574074	0.0009659575	0.413864341	True
w_comp_cor_276	WM	75.647338278	0.0009646864	0.4148290274	True
w_comp_cor_277	WM	75.6149235378	0.0009638599	0.4157928873	True
w_comp_cor_278	WM	75.5307631395	0.0009617155	0.4167546028	True
w_comp_cor_279	WM	75.4371166672	0.0009593322	0.417713935	True
w_comp_cor_280	WM	75.4077937639	0.0009585865	0.4186725215	True
w_comp_cor_281	WM	75.3802203959	0.0009578856	0.4196304071	True
w_comp_cor_282	WM	75.3325524356	0.0009566746	0.4205870817	True
w_comp_cor_283	WM	75.2034447721	0.0009533982	0.4215404799	True
w_comp_cor_284	WM	75.189558067	0.0009530461	0.422493526	True
w_comp_cor_285	WM	75.1525208202	0.0009521074	0.4234456335	True
w_comp_cor_286	WM	75.1232314852	0.0009513655	0.4243969989	True
w_comp_cor_287	WM	75.0216143047	0.0009487934	0.4253457924	True
w_comp_cor_288	WM	75.0034619073	0.0009483343	0.4262941267	True
w_comp_cor_289	WM	74.9772842199	0.0009476725	0.4272417992	True
w_comp_cor_290	WM	74.8928477424	0.0009455392	0.4281873384	True
w_comp_cor_291	WM	74.8286791353	0.0009439196	0.429131258	True
w_comp_cor_292	WM	74.7799322143	0.0009426902	0.4300739482	True
w_comp_cor_293	WM	74.7301242286	0.0009414348	0.4310153831	True
w_comp_cor_294	WM	74.6656127336	0.0009398101	0.4319551932	True
w_comp_cor_295	WM	74.6575731523	0.0009396078	0.4328948009	True
w_comp_cor_296	WM	74.5734314686	0.000937491	0.433832292	True
w_comp_cor_297	WM	74.5060284319	0.0009357971	0.434768089	True
w_comp_cor_298	WM	74.4939867669	0.0009354946	0.4357035837	True
w_comp_cor_299	WM	74.4353655718	0.0009340229	0.4366376065	True
w_comp_cor_300	WM	74.4241748283	0.000933742	0.4375713486	True
w_comp_cor_301	WM	74.3383639366	0.0009315901	0.4385029386	True
w_comp_cor_302	WM	74.2959250954	0.0009305267	0.4394334654	True
w_comp_cor_303	WM	74.2001676999	0.0009281296	0.440361595	True
w_comp_cor_304	WM	74.165404554	0.0009272602	0.4412888551	True
w_comp_cor_305	WM	74.104321707	0.0009257334	0.4422145885	True
w_comp_cor_306	WM	74.0873265341	0.0009253088	0.4431398974	True
w_comp_cor_307	WM	74.0557977934	0.0009245214	0.4440644188	True
w_comp_cor_308	WM	73.9760547274	0.0009225315	0.4449869503	True
w_comp_cor_309	WM	73.9646973315	0.0009222482	0.4459091985	True
w_comp_cor_310	WM	73.8373423173	0.000919075	0.4468282735	True
w_comp_cor_311	WM	73.8077189601	0.0009183377	0.4477466112	True
