component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped483	Edge	100.0353728504	0.0003100676	0.7364336843	False
dropped484	Edge	99.9833731692	0.0003097453	0.7367434296	False
dropped485	Edge	99.9695727508	0.0003096598	0.7370530894	False
dropped486	Edge	99.8868802600	0.0003091477	0.7373622371	False
dropped487	Edge	99.8064048925	0.0003086498	0.7376708869	False
dropped488	Edge	99.7671449656	0.0003084070	0.7379792939	False
dropped489	Edge	99.7481964794	0.0003082899	0.7382875838	False
dropped490	Edge	99.7301256011	0.0003081782	0.7385957620	False
dropped491	Edge	99.7020384513	0.0003080046	0.7389037666	False
dropped492	Edge	99.6771146035	0.0003078506	0.7392116173	False
dropped493	Edge	99.6190555312	0.0003074921	0.7395191094	False
dropped494	Edge	99.5762912301	0.0003072282	0.7398263376	False
dropped495	Edge	99.5495784415	0.0003070634	0.7401334009	False
dropped496	Edge	99.4708753252	0.0003065780	0.7404399790	False
dropped497	Edge	99.4167523677	0.0003062445	0.7407462235	False
dropped498	Edge	99.3626229092	0.0003059111	0.7410521346	False
dropped499	Edge	99.3032696884	0.0003055458	0.7413576803	False
dropped500	Edge	99.2663258700	0.0003053185	0.7416629988	False
dropped501	Edge	99.2427011982	0.0003051731	0.7419681719	False
dropped502	Edge	99.1838804875	0.0003048115	0.7422729834	False
dropped503	Edge	99.1418776170	0.0003045534	0.7425775368	False
dropped504	Edge	99.0828869769	0.0003041911	0.7428817279	False
dropped505	Edge	99.0635184108	0.0003040722	0.7431858000	False
dropped506	Edge	99.0377816829	0.0003039142	0.7434897142	False
dropped507	Edge	98.9709724794	0.0003035043	0.7437932185	False
dropped508	Edge	98.9081645940	0.0003031192	0.7440963377	False
dropped509	Edge	98.8523175028	0.0003027770	0.7443991147	False
dropped510	Edge	98.8448122859	0.0003027310	0.7447018457	False
dropped511	Edge	98.8368015751	0.0003026819	0.7450045277	False
dropped512	Edge	98.7979165296	0.0003024438	0.7453069715	False
dropped513	Edge	98.7406744869	0.0003020935	0.7456090650	False
dropped514	Edge	98.6613215184	0.0003016081	0.7459106731	False
dropped515	Edge	98.6438749305	0.0003015014	0.7462121745	False
dropped516	Edge	98.5535480485	0.0003009495	0.7465131241	False
dropped517	Edge	98.5218843747	0.0003007562	0.7468138803	False
dropped518	Edge	98.4727871983	0.0003004565	0.7471143368	False
dropped519	Edge	98.4482979490	0.0003003071	0.7474146438	False
dropped520	Edge	98.4082440999	0.0003000628	0.7477147066	False
dropped521	Edge	98.3655646030	0.0002998026	0.7480145092	False
dropped522	Edge	98.3215007120	0.0002995340	0.7483140432	False
dropped523	Edge	98.2859979243	0.0002993177	0.7486133609	False
dropped524	Edge	98.2360430231	0.0002990136	0.7489123745	False
dropped525	Edge	98.1560918352	0.0002985270	0.7492109015	False
dropped526	Edge	98.1503192666	0.0002984919	0.7495093935	False
dropped527	Edge	98.1199745356	0.0002983074	0.7498077009	False
dropped528	Edge	98.0773534422	0.0002980483	0.7501057491	False
dropped529	Edge	98.0588711913	0.0002979360	0.7504036851	False
dropped530	Edge	97.9905819388	0.0002975211	0.7507012063	False
dropped531	Edge	97.9710550021	0.0002974026	0.7509986088	False
dropped532	Edge	97.9109829089	0.0002970380	0.7512956468	False
dropped533	Edge	97.8684830023	0.0002967802	0.7515924270	False
dropped534	Edge	97.8220143500	0.0002964984	0.7518889254	False
dropped535	Edge	97.7819725762	0.0002962557	0.7521851811	False
dropped536	Edge	97.7351427737	0.0002959720	0.7524811531	False
dropped537	Edge	97.6741203830	0.0002956025	0.7527767557	False
dropped538	Edge	97.6683993420	0.0002955679	0.7530723236	False
dropped539	Edge	97.6360116326	0.0002953719	0.7533676955	False
