edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23
0.0074053039	0.0249210000	-0.0505954950	0.0015510294	0.0009223945	0.0166110049	-0.0029594013	0.0249104914	-0.0292093177	0.0363892252	-0.0053802222	0.0209809867	-0.0214278836	-0.0085923935	-0.0276386934	-0.0296724509	-0.0176794231	0.0313118972	-0.0001479479	-0.0039260640	0.0047871157	0.0244459451	-0.0589829722	0.0120389972
0.0070902372	0.0208317264	-0.0450732707	-0.0029905005	-0.0007806479	0.0210709148	-0.0052136526	0.0327086813	-0.0161306193	-0.0018810688	-0.0098331406	0.0349050184	-0.0168576667	-0.0227113817	-0.0176245880	-0.0332410279	0.0437645828	0.0100056801	0.0070353702	-0.0238952836	0.0154649440	0.0347035771	-0.0366618641	0.0137725176
0.0136030976	0.0344432330	-0.0446446882	0.0024113240	0.0020596062	0.0197982756	0.0073849935	0.0549319489	-0.0093308688	0.0186498773	-0.0345219349	0.0011930594	-0.0114637853	-0.0177307412	-0.0104140962	-0.0566238585	-0.0265950661	0.0084209408	0.0191498908	-0.0267223702	0.0239690454	0.0277959890	-0.0504749026	0.0103675060
0.0072269083	0.0418864886	-0.0423905726	0.0019530080	0.0014960039	0.0167173003	-0.0046621904	0.0211710297	-0.0384233105	0.0485825506	-0.0200788301	0.0002901254	-0.0234529604	0.0015186225	-0.0254525420	-0.0388995342	0.0136498471	0.0191971923	0.0007547256	0.0215178015	0.0156695612	0.0277548328	-0.0543531254	0.0128822833
0.0039809560	0.0415975910	-0.0412671351	-0.0166646007	-0.0001915213	0.0345739310	-0.0177344815	0.0199786213	-0.0369182873	0.0232901324	-0.0043175689	0.0484268897	-0.0189253887	-0.0155767317	-0.0229203196	-0.0287350406	-0.0054501282	-0.0058058104	0.0233405514	-0.0257298965	0.0068733332	0.0312427969	-0.0432635822	0.0220884013
0.0087644653	0.0470268753	-0.0416483020	-0.0138457980	0.0045621098	0.0238926349	-0.0191243657	0.0403219759	-0.0202880857	0.0098758088	-0.0439448156	0.0256254344	-0.0176775516	-0.0164966536	-0.0276227507	-0.0311491516	-0.0130117442	0.0299012240	0.0041655414	0.0030865225	0.0058769036	0.0230363422	-0.0513271676	0.0139205911
0.0164213204	0.0575501935	-0.0444883063	0.0006820844	-0.0035388476	0.0178743060	-0.0072936499	0.0463099445	-0.0415994617	0.0480413824	-0.0369504717	0.0053169122	-0.0160003683	-0.0064113372	-0.0347049645	-0.0528465442	0.0242198311	0.0053208801	0.0068881033	0.0062757278	0.0193077624	0.0277917265	-0.0426800264	0.0165342934
0.0161855183	0.0578756134	-0.0424680783	-0.0067184485	-0.0038577796	0.0237330372	-0.0106670091	0.0420592650	-0.0457499471	0.0496749429	-0.0122340513	0.0404611072	-0.0238262313	0.0007942726	-0.0274970055	-0.0405064731	-0.0184958263	0.0244092848	-0.0028141376	-0.0141252142	-0.0003351723	0.0209317119	-0.0635702895	0.0212072413
0.0143640401	0.0463495773	-0.0361751637	-0.0168225141	-0.0011462610	0.0293622403	-0.0290225206	0.0275725410	-0.0392721200	0.0169063273	-0.0432531370	0.0465365085	0.0044178506	-0.0146747890	0.0038523728	-0.0251407774	0.0187247637	0.0203684951	0.0052286903	0.0141434629	-0.0156088639	0.0287013308	-0.0489664449	0.0156244030
0.0210145347	0.0445087883	-0.0377391372	-0.0120994943	0.0094431503	0.0078233659	-0.0453469585	0.0387073766	-0.0346759943	0.0427669267	-0.0298950267	0.0099253596	-0.0051721134	-0.0182354087	-0.0463277679	-0.0166266803	0.0344631260	-0.0034373390	0.0057868177	-0.0050659626	-0.0213078842	0.0371691432	-0.0225393679	0.0121516388
