component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped944	WM	46.6968412229	0.0003675986	0.8394825847	False
dropped945	WM	46.6718871080	0.0003672058	0.8398497905	False
dropped946	WM	46.5891272445	0.0003659047	0.8402156952	False
dropped947	WM	46.5658930997	0.0003655399	0.8405812351	False
dropped948	WM	46.5481066472	0.0003652607	0.8409464958	False
dropped949	WM	46.5380267167	0.0003651025	0.8413115982	False
dropped950	WM	46.5020564684	0.0003645383	0.8416761366	False
dropped951	WM	46.4793763897	0.0003641828	0.8420403194	False
dropped952	WM	46.4446557667	0.0003636389	0.8424039583	False
dropped953	WM	46.4127226938	0.0003631390	0.8427670973	False
dropped954	WM	46.4065904461	0.0003630431	0.8431301404	False
dropped955	WM	46.3531173999	0.0003622069	0.8434923473	False
dropped956	WM	46.3332695373	0.0003618968	0.8438542442	False
dropped957	WM	46.2848121401	0.0003611402	0.8442153844	False
dropped958	WM	46.2184524746	0.0003601054	0.8445754898	False
dropped959	WM	46.1591676062	0.0003591822	0.8449346720	False
dropped960	WM	46.1400569999	0.0003588848	0.8452935568	False
dropped961	WM	46.1001549327	0.0003582644	0.8456518212	False
dropped962	WM	46.0826145230	0.0003579918	0.8460098130	False
dropped963	WM	46.0303946645	0.0003571809	0.8463669939	False
dropped964	WM	46.0020404218	0.0003567410	0.8467237350	False
dropped965	WM	45.9683250629	0.0003562183	0.8470799532	False
dropped966	WM	45.9043153670	0.0003552269	0.8474351802	False
dropped967	WM	45.8702565791	0.0003547000	0.8477898802	False
dropped968	WM	45.8057547030	0.0003537032	0.8481435833	False
dropped969	WM	45.7818016159	0.0003533333	0.8484969167	False
dropped970	WM	45.7495673937	0.0003528360	0.8488497526	False
dropped971	WM	45.7149795659	0.0003523027	0.8492020553	False
dropped972	WM	45.6629986973	0.0003515019	0.8495535572	False
dropped973	WM	45.6198856260	0.0003508385	0.8499043957	False
dropped974	WM	45.5802480416	0.0003502291	0.8502546248	False
dropped975	WM	45.5554230550	0.0003498477	0.8506044725	False
dropped976	WM	45.5198524568	0.0003493016	0.8509537741	False
dropped977	WM	45.4764354556	0.0003486356	0.8513024097	False
dropped978	WM	45.4712770685	0.0003485565	0.8516509662	False
dropped979	WM	45.4386336240	0.0003480562	0.8519990224	False
dropped980	WM	45.3739057704	0.0003470653	0.8523460877	False
dropped981	WM	45.3578218457	0.0003468193	0.8526929069	False
dropped982	WM	45.3425028329	0.0003465851	0.8530394920	False
dropped983	WM	45.3101910477	0.0003460913	0.8533855833	False
dropped984	WM	45.2422063797	0.0003450535	0.8537306368	False
dropped985	WM	45.1828420127	0.0003441486	0.8540747853	False
dropped986	WM	45.1592935044	0.0003437899	0.8544185752	False
dropped987	WM	45.1314288212	0.0003433658	0.8547619410	False
dropped988	WM	45.0512878799	0.0003421474	0.8551040884	False
dropped989	WM	45.0213952963	0.0003416935	0.8554457820	False
dropped990	WM	44.9893813548	0.0003412078	0.8557869897	False
dropped991	WM	44.9533579104	0.0003406616	0.8561276513	False
dropped992	WM	44.9253719465	0.0003402375	0.8564678888	False
dropped993	WM	44.9147964784	0.0003400774	0.8568079662	False
dropped994	WM	44.8487502354	0.0003390779	0.8571470441	False
dropped995	WM	44.8318223411	0.0003388220	0.8574858662	False
dropped996	WM	44.8095230197	0.0003384851	0.8578243512	False
dropped997	WM	44.7764168962	0.0003379851	0.8581623363	False
dropped998	WM	44.7506093577	0.0003375956	0.8584999319	False
dropped999	WM	44.6841117760	0.0003365930	0.8588365249	False
dropped1000	WM	44.6612139586	0.0003362482	0.8591727731	False
dropped1001	WM	44.6197171395	0.0003356236	0.8595083967	False
dropped1002	WM	44.6050051787	0.0003354023	0.8598437990	False
dropped1003	WM	44.5731899240	0.0003349240	0.8601787230	False
dropped1004	WM	44.5227215426	0.0003341660	0.8605128890	False
dropped1005	WM	44.5044132965	0.0003338912	0.8608467802	False
dropped1006	WM	44.4842121020	0.0003335882	0.8611803684	False
dropped1007	WM	44.4385725013	0.0003329040	0.8615132725	False
dropped1008	WM	44.3925329284	0.0003322146	0.8618454871	False
dropped1009	WM	44.3357657383	0.0003313655	0.8621768525	False
dropped1010	WM	44.3214631793	0.0003311517	0.8625080043	False
dropped1011	WM	44.3012956512	0.0003308504	0.8628388547	False
dropped1012	WM	44.2232452931	0.0003296857	0.8631685404	False
dropped1013	WM	44.1977693294	0.0003293059	0.8634978463	False
dropped1014	WM	44.1391473937	0.0003284330	0.8638262793	False
dropped1015	WM	44.0829175205	0.0003275967	0.8641538760	False
dropped1016	WM	44.0469815931	0.0003270628	0.8644809388	False
dropped1017	WM	44.0317189401	0.0003268362	0.8648077750	False
dropped1018	WM	44.0018719463	0.0003263932	0.8651341682	False
dropped1019	WM	43.9763306328	0.0003260144	0.8654601827	False
dropped1020	WM	43.9407194921	0.0003254867	0.8657856693	False
dropped1021	WM	43.8939304888	0.0003247939	0.8661104632	False
dropped1022	WM	43.8812424627	0.0003246061	0.8664350693	False
dropped1023	WM	43.8219687613	0.0003237298	0.8667587991	False
dropped1024	WM	43.7835063218	0.0003231617	0.8670819608	False
dropped1025	WM	43.7533153554	0.0003227162	0.8674046770	False
dropped1026	WM	43.7445060376	0.0003225863	0.8677272633	False
dropped1027	WM	43.7031045140	0.0003219760	0.8680492392	False
dropped1028	WM	43.6575192846	0.0003213046	0.8683705439	False
dropped1029	WM	43.6255627143	0.0003208344	0.8686913783	False
dropped1030	WM	43.6056197702	0.0003205411	0.8690119194	False
dropped1031	WM	43.5658997432	0.0003199575	0.8693318769	False
dropped1032	WM	43.5487705649	0.0003197059	0.8696515828	False
dropped1033	WM	43.4637240280	0.0003184584	0.8699700412	False
dropped1034	WM	43.4157183047	0.0003177553	0.8702877965	False
dropped1035	WM	43.3887519630	0.0003173607	0.8706051572	False
dropped1036	WM	43.3762413811	0.0003171777	0.8709223350	False
dropped1037	WM	43.3540334038	0.0003168530	0.8712391880	False
dropped1038	WM	43.3340885184	0.0003165616	0.8715557496	False
dropped1039	WM	43.2791322107	0.0003157592	0.8718715087	False
dropped1040	WM	43.2303190920	0.0003150473	0.8721865560	False
dropped1041	WM	43.2211839610	0.0003149142	0.8725014702	False
dropped1042	WM	43.1599862700	0.0003140230	0.8728154932	False
dropped1043	WM	43.1408633523	0.0003137448	0.8731292379	False
dropped1044	WM	43.0965598532	0.0003131007	0.8734423387	False
dropped1045	WM	43.0786598971	0.0003128407	0.8737551793	False
dropped1046	WM	43.0242619989	0.0003120511	0.8740672304	False
dropped1047	WM	42.9801339692	0.0003114113	0.8743786418	False
dropped1048	WM	42.9521289032	0.0003110056	0.8746896474	False
dropped1049	WM	42.9303865594	0.0003106908	0.8750003382	False
dropped1050	WM	42.8726825104	0.0003098562	0.8753101944	False
