component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped860	0	7.7048433598	0.0000255569	0.9964829780	False
dropped861	0	7.7014522733	0.0000255344	0.9965085124	False
dropped862	0	7.6778446239	0.0000253781	0.9965338905	False
dropped863	0	7.6662910419	0.0000253018	0.9965591923	False
dropped864	0	7.6408652513	0.0000251343	0.9965843266	False
dropped865	0	7.6088393508	0.0000249240	0.9966092506	False
dropped866	0	7.5949444403	0.0000248331	0.9966340837	False
dropped867	0	7.5874299968	0.0000247839	0.9966588676	False
dropped868	0	7.5704220712	0.0000246730	0.9966835406	False
dropped869	0	7.5410167323	0.0000244817	0.9967080223	False
dropped870	0	7.5048801367	0.0000242476	0.9967322698	False
dropped871	0	7.4956309569	0.0000241879	0.9967564577	False
dropped872	0	7.4865994555	0.0000241296	0.9967805873	False
dropped873	0	7.4593728225	0.0000239544	0.9968045417	False
dropped874	0	7.4400045676	0.0000238302	0.9968283719	False
dropped875	0	7.4376049541	0.0000238148	0.9968521867	False
dropped876	0	7.4178745552	0.0000236886	0.9968758754	False
dropped877	0	7.3690931419	0.0000233781	0.9968992535	False
dropped878	0	7.3669364068	0.0000233644	0.9969226179	False
dropped879	0	7.3344775866	0.0000231590	0.9969457769	False
dropped880	0	7.3149515716	0.0000230358	0.9969688127	False
dropped881	0	7.3005482424	0.0000229452	0.9969917579	False
dropped882	0	7.2818163535	0.0000228276	0.9970145855	False
dropped883	0	7.2378945255	0.0000225531	0.9970371386	False
dropped884	0	7.2293048700	0.0000224996	0.9970596382	False
dropped885	0	7.2262923083	0.0000224808	0.9970821190	False
dropped886	0	7.2112022027	0.0000223870	0.9971045060	False
dropped887	0	7.1957465026	0.0000222912	0.9971267972	False
dropped888	0	7.1684191190	0.0000221222	0.9971489194	False
dropped889	0	7.1461261039	0.0000219848	0.9971709041	False
dropped890	0	7.1391777188	0.0000219421	0.9971928462	False
dropped891	0	7.1216270690	0.0000218343	0.9972146805	False
dropped892	0	7.1012232188	0.0000217094	0.9972363899	False
dropped893	0	7.0960338476	0.0000216777	0.9972580676	False
dropped894	0	7.0757488856	0.0000215539	0.9972796215	False
dropped895	0	7.0447496257	0.0000213655	0.9973009869	False
dropped896	0	7.0376643509	0.0000213225	0.9973223094	False
dropped897	0	7.0225224154	0.0000212308	0.9973435403	False
dropped898	0	7.0024677413	0.0000211098	0.9973646500	False
dropped899	0	6.9773147367	0.0000209584	0.9973856084	False
dropped900	0	6.9527677636	0.0000208112	0.9974064196	False
dropped901	0	6.9406838383	0.0000207389	0.9974271585	False
dropped902	0	6.9308131286	0.0000206799	0.9974478384	False
